"Day","Account","Campaign","Ad.group","Network","Ad.group.state","Impressions","CTR","Avg..CPC","Clicks","Cost","Avg..session.duration..seconds.","Bounce.rate","Click.Assisted.Conv.","Click.conversion.rate","Conversions","View.through.conv.","Search.Impr..share","Avg..position"
2015-03-18,"Bangalore Clients Account","Tikki Tikki-Search","Cutlets","Search Network","enabled",0,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"< 10%",0
2015-03-07,"Bangalore Clients Account","Tikki Tikki-Display","Remarketing","Display Network","enabled",4533,"0.24%",8.556364,11,94.12,0,"0.00%",0,"0.00%",0,2," --",1
2015-03-14,"Bangalore Clients Account","Pizza Intalia - S","Pizza Intalia - Exact","Display Network","enabled",116,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",1.1
2015-02-22,"Bangalore Clients Account","FOOD TRIP","Food Trip -Brand Keyword","Search Network","enabled",3,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-03-31,"Bangalore Clients Account","Grab Eat Display","Food Coupons_PLC","Display Network","enabled",1442,"0.07%",6.63,1,6.63,0,"0.00%",0,"0.00%",0,0," --",1
2015-04-02,"Bangalore Clients Account","Tikki Tikki-Display","Remarketing","Display Network","enabled",1442,"0.14%",15.96,2,31.92,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-27,"Bangalore Clients Account","Bhukkad-Display","Remarketing","Display Network","enabled",138,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,1," --",1
2015-03-12,"Bangalore Clients Account","Tikki Tikki-Display","Remarketing","Display Network","enabled",2171,"0.41%",12.312222,9,110.81,0,"0.00%",0,"0.00%",0,2," --",1
2015-03-04,"Bangalore Clients Account","Biryani Pot - Display","BIRYANI POT-Remarketing","Display Network","enabled",1072,"0.65%",11.421429,7,79.95,0,"0.00%",0,"0.00%",0,1," --",1
2015-02-26,"Bangalore Clients Account","Tikki Tikki-Display","TV Lovers-INt","Display Network","enabled",9,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-11,"Bangalore Clients Account","Tikki Tikki-Display","Remarketing","Display Network","enabled",2274,"0.31%",13.327143,7,93.29,0,"0.00%",0,"0.00%",0,5," --",1
2015-03-19,"Bangalore Clients Account","Bhukkad-Display","Remarketing","Display Network","enabled",136,"2.21%",8.713333,3,26.14,0,"0.00%",0,"0.00%",0,1," --",1
2015-03-21,"Bangalore Clients Account","100ft Bangalore","100ft - Exact","Search Network","enabled",7,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"53.85%",2.3
2015-03-26,"Bangalore Clients Account","Calvin - Search","Calvin - Exact","Search Network","enabled",2,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-03-17,"Bangalore Clients Account","Yummy NH8","Yummy NH8 -Exact","Search Network","enabled",6,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"17.65%",1.3
2015-02-28,"Bangalore Clients Account","Tikki Tikki-Search","Tikki Tikki-Brand Exact","Search Network","enabled",4,"50.00%",10.705,2,21.41,0,"0.00%",0,"50.00%",1,0,"66.67%",1.5
2015-03-01,"Bangalore Clients Account","Tandoor Hut","Tandoor Hut - Exact","Search Network","enabled",27,"7.41%",13.475,2,26.95,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-03-30,"Bangalore Clients Account","Tikki Tikki-Display","TV Lovers-INt","Display Network","enabled",2,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-27,"Bangalore Clients Account","Khana Pina : Text","Ad Group #1","Search Network","enabled",2,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-03-21,"Bangalore Clients Account","Olivers-D","Remarketing","Display Network","enabled",705,"0.43%",7.86,3,23.58,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-06,"Bangalore Clients Account","100ft Bangalore","100ft - Exact","Search Network","enabled",7,"14.29%",27.98,1,27.98,0,"0.00%",0,"0.00%",0,0,"43.75%",1.9
2015-02-19,"Bangalore Clients Account","Rotti Mane","Rotti Mane","Display Network","enabled",1,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-31,"Bangalore Clients Account","Bhukkad-Display","Movie Lovers","Display Network","enabled",3205,"0.31%",6.775,10,67.75,0,"0.00%",0,"0.00%",0,0," --",1
2015-02-26,"Bangalore Clients Account","100ft Bangalore","100ft - Exact","Search Network","enabled",2,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"40.00%",2.5
2015-02-28,"Bangalore Clients Account","Rotti Mane","Rotti Mane","Search Network","enabled",2,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-03-16,"Bangalore Clients Account","Tikki Tikki-Search","Tikki Tikki-Brand Exact","Search Network","enabled",7,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"87.50%",1.9
2015-03-13,"Bangalore Clients Account","Oliver's","Olivers-BMM","Display Network","enabled",1,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",2
2015-03-26,"Bangalore Clients Account","Punjabi Times: Text","Ad Group #1","Search Network","enabled",61,"16.39%",17.673,10,176.73,0,"0.00%",0,"0.00%",0,0,"98.39%",1
2015-02-21,"Bangalore Clients Account","Tikki Tikki-Display","Foodies","Display Network","enabled",30,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-13,"Bangalore Clients Account","Tikki Tikki-Display","TV Lovers-INt","Display Network","enabled",2,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",1
2015-04-02,"Bangalore Clients Account","Tikki Tikki-Display","TV Lovers-INt","Display Network","enabled",19,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-19,"Bangalore Clients Account","Pizza Intalia - S","Pizza Intalia - Exact","Display Network","enabled",27,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",1.1
2015-03-27,"Bangalore Clients Account","Punjabi Times: Text","Ad Group #1","Search Network","enabled",57,"26.32%",10.626,15,159.39,0,"0.00%",0,"0.00%",0,0,"98.28%",1
2015-03-29,"Bangalore Clients Account","Tez Tadaka-D","Remarketing","Display Network","enabled",255,"0.78%",9.99,2,19.98,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-05,"Bangalore Clients Account","Tandoor Hut","Tandoor Hut - Exact","Search Network","enabled",15,"13.33%",15.805,2,31.61,0,"0.00%",0,"0.00%",0,0,"93.75%",1.1
2015-02-07,"Bangalore Clients Account","Tikki Tikki-Display","Foodies","Display Network","enabled",3174,"0.25%",3.82375,8,30.59,0,"0.00%",0,"0.00%",0,0," --",1
2015-02-28,"Bangalore Clients Account","Bhukkad-Display","Remarketing","Display Network","enabled",254,"0.39%",3.12,1,3.12,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-01,"Bangalore Clients Account","Tikki Tikki-Display","Remarketing","Display Network","enabled",8088,"0.17%",6.677857,14,93.49,0,"0.00%",0,"0.00%",0,0," --",1
2015-02-14,"Bangalore Clients Account","Midnight Express","Midnight-BMM","Search Network","paused",20,"10.00%",9.36,2,18.72,0,"0.00%",0,"0.00%",0,0,"95.24%",1.5
2015-03-31,"Bangalore Clients Account","Midnight Foodpoint","Midnight Foodpoint - Exact","Search Network","enabled",8,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"12.90%",3.8
2015-03-22,"Bangalore Clients Account","Calvin - Search","Calvins - Competitor","Search Network","enabled",58,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"< 10%",3.5
2015-03-04,"Bangalore Clients Account","Tandoor Hut","Tandoor Hut - Exact","Display Network","enabled",4,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-28,"Bangalore Clients Account","Biryani Pot - Display","BIRYANI POT-Remarketing","Display Network","enabled",534,"0.94%",12.044,5,60.22,0,"0.00%",0,"0.00%",0,0," --",1
2015-02-07,"Bangalore Clients Account","marias goan kitchen","Maria Goan Kitchen-BMM","Search Network","enabled",1,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-03-18,"Bangalore Clients Account","Calvin - Search","Calvins - Competitor","Search Network","enabled",15,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"< 10%",4.1
2015-02-26,"Bangalore Clients Account","Tez Tadaka-D","Remarketing","Display Network","enabled",517,"0.19%",2.31,1,2.31,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-27,"Bangalore Clients Account","Tikki Tikki-Search","Cutlets","Search Network","enabled",1,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"50.00%",1
2015-03-20,"Bangalore Clients Account","Istanbul-d","Remarket","Display Network","enabled",5562,"0.27%",7.706,15,115.59,0,"0.00%",0,"0.00%",0,1," --",1
2015-02-24,"Bangalore Clients Account","Tez Tadaka-D","Remarketing","Display Network","enabled",923,"0.22%",3.985,2,7.97,0,"0.00%",0,"0.00%",0,0," --",1
2015-02-25,"Bangalore Clients Account","Calvin - Search","Calvin - Exact","Search Network","enabled",9,"77.78%",11.114286,7,77.8,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-03-14,"Bangalore Clients Account","Calvin - Search","Calvin - Exact","Search Network","enabled",13,"15.38%",10.555,2,21.11,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-03-22,"Bangalore Clients Account","Yummy NH8","Yummy NH8 -Exact","Search Network","enabled",21,"4.76%",13.59,1,13.59,0,"0.00%",0,"0.00%",0,0,"24.42%",1.5
2015-03-16,"Bangalore Clients Account","Pizzeria-D","Remarketing","Display Network","enabled",54,"1.85%",18.21,1,18.21,0,"0.00%",0,"0.00%",0,1," --",1
2015-04-01,"Bangalore Clients Account","Bhukkad-Display","Remarketing","Display Network","enabled",251,"2.39%",6.011667,6,36.07,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-20,"Bangalore Clients Account","Oliver's","Olivers-BMM","Search Network","enabled",20,"5.00%",9.93,1,9.93,0,"0.00%",0,"0.00%",0,0,"80.00%",1
2015-03-22,"Bangalore Clients Account","Khana Pina : Text","Ad Group #1","Search Network","enabled",2,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-02-28,"Bangalore Clients Account","Tez Tadaka-D","Coupons Bangalore_KCT","Display Network","paused",3505,"0.14%",2.368,5,11.84,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-23,"Bangalore Clients Account","marias goan kitchen","Marias kitchen-brand","Search Network","enabled",3,"33.33%",38.4,1,38.4,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-03-31,"Bangalore Clients Account","Andhra House : Text","Ad Group #1","Search Network","enabled",16,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"88.89%",1.1
2015-03-15,"Bangalore Clients Account","Calvin - Search","Calvins - Competitor","Display Network","enabled",21,"4.76%",48.24,1,48.24,0,"0.00%",0,"0.00%",0,0," --",2.7
2015-03-15,"Bangalore Clients Account","Bhukkad-Display","Movie Lovers","Display Network","enabled",12999,"0.19%",7.472,25,186.8,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-28,"Bangalore Clients Account","Midnight Foodpoint","Midnight Foodpoint - Exact","Search Network","enabled",30,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"29.70%",5
2015-03-21,"Bangalore Clients Account","Amrutham Display","Ad Group #1","Display Network","enabled",3837,"0.50%",10.332105,19,196.31,0,"0.00%",0,"0.00%",0,0," --",1
2015-02-17,"Bangalore Clients Account","Tikki Tikki-Display","Remarketing","Display Network","enabled",75,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-24,"Bangalore Clients Account","Grab Eat Display","Remarketing","Display Network","enabled",223,"0.45%",8.46,1,8.46,0,"0.00%",0,"0.00%",0,0," --",1
2015-02-25,"Bangalore Clients Account","marias goan kitchen","Marias kitchen-brand","Search Network","enabled",8,"12.50%",47.47,1,47.47,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-03-14,"Bangalore Clients Account","marias goan kitchen","Maria Goan Kitchen-BMM","Search Network","enabled",1,"100.00%",8.78,1,8.78,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-02-27,"Bangalore Clients Account","Tandoor Hut","Tandoor Hut - Exact","Display Network","enabled",31,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",1.2
2015-03-12,"Bangalore Clients Account","marias goan kitchen","Marias kitchen-brand","Search Network","enabled",9,"22.22%",13.3,2,26.6,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-03-29,"Bangalore Clients Account","Grab Eat Display","Remarketing","Display Network","enabled",225,"1.33%",8.59,3,25.77,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-05,"Bangalore Clients Account","100ft Bangalore","100ft - Exact","Search Network","enabled",2,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"25.00%",2.5
2015-03-22,"Bangalore Clients Account","Olivers-D","Remarketing","Display Network","enabled",750,"0.53%",14.2,4,56.8,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-01,"Bangalore Clients Account","Grab Eat Display","Remarketing","Display Network","enabled",2121,"0.24%",6.206,5,31.03,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-01,"Bangalore Clients Account","Bhukkad-Display","Remarketing","Display Network","enabled",60,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-03,"Bangalore Clients Account","Calvin - Search","Calvin - Exact","Search Network","enabled",12,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"85.71%",1.4
2015-03-26,"Bangalore Clients Account","Tez Tadka Search","Tez Tadka Exact","Search Network","enabled",8,"12.50%",21.46,1,21.46,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-03-28,"Bangalore Clients Account","100ft Bangalore","100ft - Exact","Search Network","enabled",8,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"61.54%",1.9
2015-03-27,"Bangalore Clients Account","Calvin - Search","Calvins - Competitor","Search Network","enabled",0,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"< 10%",0
2015-03-05,"Bangalore Clients Account","Pizzeria-D","Remarketing","Display Network","enabled",105,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-18,"Bangalore Clients Account","Pizza Intalia - S","Pizza Intalia - Exact","Search Network","enabled",1,"100.00%",21.18,1,21.18,0,"0.00%",0,"0.00%",0,0,"100.00%",3
2015-03-08,"Bangalore Clients Account","Olivers-D","Remarketing","Display Network","enabled",1972,"0.71%",11.387143,14,159.42,0,"0.00%",0,"0.00%",0,3," --",1
2015-03-17,"Bangalore Clients Account","BHUKKAD","Bhukkad-BMM","Search Network","enabled",0,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"< 10%",0
2015-02-21,"Bangalore Clients Account","Yummy NH8","Yummy NH8 -Exact","Search Network","enabled",11,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"52.38%",1.7
2015-03-07,"Bangalore Clients Account","Tez Tadaka-D","Coupons Bangalore_KCT","Display Network","paused",2813,"0.25%",4.577143,7,32.04,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-23,"Bangalore Clients Account","Punjabi Times: Text","Ad Group #1","Search Network","enabled",37,"37.84%",7.781429,14,108.94,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-02-15,"Bangalore Clients Account","Tikki Tikki-Search","Tikki Tikki-Brand Exact","Search Network","enabled",6,"33.33%",24.375,2,48.75,0,"0.00%",0,"50.00%",1,0,"100.00%",1
2015-02-17,"Bangalore Clients Account","Bhukkad-Display","Remarketing","Display Network","enabled",7,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-12,"Bangalore Clients Account","Bhukkad-Display","Remarketing","Display Network","enabled",2,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-15,"Bangalore Clients Account","Yummy NH8","Yummy NH8 -Exact","Search Network","enabled",8,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"19.05%",1.5
2015-03-07,"Bangalore Clients Account","Tez Tadka Search","Tez Tadka Exact","Search Network","enabled",7,"42.86%",13.746667,3,41.24,0,"0.00%",0,"33.33%",1,0,"100.00%",1
2015-04-02,"Bangalore Clients Account","100ft Bangalore","100ft - Exact","Search Network","enabled",3,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",2
2015-03-04,"Bangalore Clients Account","Tandoor Hut","Tandoor Hut - Exact","Search Network","enabled",19,"5.26%",28.37,1,28.37,0,"0.00%",0,"0.00%",0,0,"95.00%",1.1
2015-03-18,"Bangalore Clients Account","Biryani Pot-SEARCH","Biryani Pot-Exact","Search Network","enabled",68,"4.41%",40.336667,3,121.01,0,"0.00%",0,"0.00%",0,0,"100.00%",1.2
2015-03-31,"Bangalore Clients Account","Istanbul-d","Remarket","Display Network","enabled",1212,"0.33%",10.0675,4,40.27,0,"0.00%",0,"0.00%",0,1," --",1
2015-03-11,"Bangalore Clients Account","marias goan kitchen","Maria Goan Kitchen-BMM","Search Network","enabled",1,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"100.00%",2
2015-03-17,"Bangalore Clients Account","Tikki Tikki-Search","Tikki Tikki-Brand Exact","Search Network","enabled",9,"33.33%",17.886667,3,53.66,0,"0.00%",0,"0.00%",0,0,"100.00%",1.9
2015-03-30,"Bangalore Clients Account","BHUKKAD","Bhukkad-BMM","Search Network","enabled",2,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-03-25,"Bangalore Clients Account","Istanbul Doner","Istanbul-BMM","Search Network","enabled",5,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"31.25%",3
2015-03-11,"Bangalore Clients Account","Tandoor Hut","Tandoor Hut - Exact","Display Network","enabled",67,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",1
2015-02-20,"Bangalore Clients Account","Tikki Tikki-Search","Tikki Tikki-Brand Exact","Search Network","enabled",3,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-03-25,"Bangalore Clients Account","Punjabi Times: Text","Ad Group #1","Search Network","enabled",81,"17.28%",13.978571,14,195.7,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-03-15,"Bangalore Clients Account","Grab Eat Display","Remarketing","Display Network","enabled",4285,"0.28%",8.653333,12,103.84,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-17,"Bangalore Clients Account","Istanbul Doner","Istanbul-BMM","Search Network","enabled",7,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"26.92%",3.4
2015-03-16,"Bangalore Clients Account","Grab Eat Display","Remarketing","Display Network","enabled",3073,"0.10%",12.416667,3,37.25,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-01,"Bangalore Clients Account","Tandoor Hut","Tandoor Hut - Exact","Display Network","enabled",46,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-19,"Bangalore Clients Account","Olivers-D","Remarketing","Display Network","enabled",584,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,1," --",1
2015-03-22,"Bangalore Clients Account","Andhra House : Text","Ad Group #1","Search Network","enabled",41,"9.76%",25.8375,4,103.35,0,"0.00%",0,"0.00%",0,0,"91.11%",1.6
2015-03-17,"Bangalore Clients Account","Calvin - Search","Calvins - Competitor","Search Network","enabled",158,"1.27%",114.35,2,228.7,0,"0.00%",0,"0.00%",0,0,"57.66%",1.1
2015-02-27,"Bangalore Clients Account","Tez Tadaka-D","Remarketing","Display Network","enabled",460,"0.22%",2.58,1,2.58,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-30,"Bangalore Clients Account","100ft Bangalore","100ft - Exact","Search Network","enabled",4,"25.00%",34.64,1,34.64,0,"0.00%",0,"0.00%",0,0,"44.44%",2.3
2015-03-27,"Bangalore Clients Account","Cup o Joe - Display","Remarketing","Display Network","enabled",475,"1.47%",4.48,7,31.36,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-14,"Bangalore Clients Account","Istanbul Doner","Istanbul-BMM","Search Network","enabled",3,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"60.00%",2
2015-03-04,"Bangalore Clients Account","marias goan kitchen","Marias kitchen-brand","Search Network","enabled",4,"25.00%",27.03,1,27.03,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-03-31,"Bangalore Clients Account","Cup o Joe - Display","Remarketing","Display Network","enabled",724,"1.80%",4.073077,13,52.95,0,"0.00%",0,"0.00%",0,1," --",1
2015-03-26,"Bangalore Clients Account","Grab Eat Display","Remarketing","Display Network","enabled",287,"0.70%",15,2,30,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-30,"Bangalore Clients Account","1947-D","Remarketing","Display Network","enabled",111,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",1
2015-02-26,"Bangalore Clients Account","Biryani Pot-SEARCH","Biryani Pot-Exact","Search Network","enabled",40,"5.00%",61.855,2,123.71,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-02-27,"Bangalore Clients Account","Rotti Mane","Rotti Mane","Search Network","enabled",4,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-03-28,"Bangalore Clients Account","Bhukkad-Display","Movie Lovers","Display Network","enabled",1596,"0.19%",8.53,3,25.59,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-21,"Bangalore Clients Account","Calvin - Search","Calvins - Competitor","Display Network","enabled",243,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",1.4
2015-02-11,"Bangalore Clients Account","Midnight Express","Midnight-BMM","Search Network","paused",7,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"36.84%",1.4
2015-03-07,"Bangalore Clients Account","Pizza Intalia - S","Pizza Intalia - Exact","Search Network","enabled",3,"100.00%",20.14,3,60.42,0,"0.00%",0,"0.00%",0,0,"100.00%",2.7
2015-03-02,"Bangalore Clients Account","Yummy NH8","Yummy NH8 -Exact","Search Network","enabled",7,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"15.91%",2.1
2015-03-09,"Bangalore Clients Account","Tandoor Hut","Tandoor Hut - Exact","Display Network","enabled",22,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",1.1
2015-03-22,"Bangalore Clients Account","Istanbul-d","Remarket","Display Network","enabled",1307,"0.31%",8.9175,4,35.67,0,"0.00%",0,"0.00%",0,1," --",1
2015-03-28,"Bangalore Clients Account","Pizzeria-D","Remarketing","Display Network","enabled",26,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-24,"Bangalore Clients Account","Tikki Tikki-Search","Cutlets","Search Network","enabled",1,"100.00%",1.22,1,1.22,0,"0.00%",0,"0.00%",0,0,"100.00%",2
2015-03-15,"Bangalore Clients Account","Biryani Pot - Display","Bangalore deals-KCT","Display Network","paused",3345,"0.57%",10.982632,19,208.67,0,"0.00%",0,"0.00%",0,0," --",1
2015-02-26,"Bangalore Clients Account","Biryani Pot - Display","News-PLC","Display Network","paused",369,"0.81%",2.196667,3,6.59,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-12,"Bangalore Clients Account","GRAB EAT","grab eat-bmm","Search Network","enabled",2,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-03-24,"Bangalore Clients Account","1947 Bangalore","1947-BMM","Search Network","enabled",79,"1.27%",14.81,1,14.81,0,"0.00%",0,"0.00%",0,0,"74.53%",1.2
2015-02-27,"Bangalore Clients Account","marias goan kitchen","South Asian Cuisine","Search Network","enabled",0,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"< 10%",0
2015-04-01,"Bangalore Clients Account","GRAB EAT","grab eat-bmm","Search Network","enabled",9,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-26,"Bangalore Clients Account","Midnight foodpoint Display","Ad Group #1","Display Network","enabled",5690,"0.37%",9.345238,21,196.25,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-23,"Bangalore Clients Account","Midnight foodpoint Display","Ad Group #1","Display Network","enabled",5951,"0.34%",10.1605,20,203.21,0,"0.00%",0,"0.00%",0,0," --",1
2015-02-26,"Bangalore Clients Account","Tikki Tikki-Display","News-KCT","Display Network","paused",449,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-24,"Bangalore Clients Account","Biryani Pot-SEARCH","BP-BMM","Search Network","enabled",20,"5.00%",1.72,1,1.72,0,"0.00%",0,"0.00%",0,0,"100.00%",1.9
2015-02-08,"Bangalore Clients Account","GRAB EAT","grab eat-bmm","Search Network","enabled",9,"22.22%",17.37,2,34.74,0,"0.00%",0,"0.00%",0,0,"40.91%",3.6
2015-04-01,"Bangalore Clients Account","Marias Goan Kitchen-Display","Foodies+Office+Gift","Display Network","enabled",1,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-06,"Bangalore Clients Account","Marias Goan Kitchen-Display","Foodies+Office+Gift","Display Network","enabled",3,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-01,"Bangalore Clients Account","Tikki Tikki-Search","Tikki Tikki-Brand-BMM","Search Network","enabled",1,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-03-14,"Bangalore Clients Account","Tikki Tikki-Search","Tikki Tikki-Brand-BMM","Search Network","enabled",3,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"100.00%",1.7
2015-03-09,"Bangalore Clients Account","Oliver's","Oliver's - Exact","Search Network","enabled",8,"12.50%",4.18,1,4.18,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-02-15,"Bangalore Clients Account","BHUKKAD","Bhukkad-Exact","Search Network","enabled",8,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"88.89%",1
2015-02-28,"Bangalore Clients Account","Wok - Search","Wok - Exact","Search Network","enabled",2,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-03-11,"Bangalore Clients Account","Bameys-Display","News Readers","Display Network","paused",385,"0.52%",6.46,2,12.92,0,"0.00%",0,"0.00%",0,0," --",1
2015-02-23,"Bangalore Clients Account","Pizzeria","Pizzeria-Exct","Search Network","enabled",73,"1.37%",46.77,1,46.77,0,"0.00%",0,"100.00%",2,0,"97.33%",1.3
2015-03-31,"Bangalore Clients Account","GRAB EAT","grab eat-bmm","Search Network","enabled",10,"20.00%",55.08,2,110.16,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-02-28,"Bangalore Clients Account","GRAB EAT","GRAB EAT-Exact","Search Network","enabled",16,"18.75%",46.35,3,139.05,0,"0.00%",0,"33.33%",1,0,"100.00%",1.3
2015-03-23,"Bangalore Clients Account","Bameys","Bameys-Brand Keywords","Search Network","enabled",4,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"100.00%",1.8
2015-03-04,"Bangalore Clients Account","KHAN SAHEB-DISPLAY","Khan saheb-Remarketing","Display Network","paused",11221,"0.22%",11.7136,25,292.84,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-30,"Bangalore Clients Account","1947-D","INT","Display Network","enabled",6861,"0.42%",8.287241,29,240.33,0,"0.00%",0,"0.00%",0,0," --",1
2015-02-14,"Bangalore Clients Account","Midnight Express","Midnight Express-Brand-Exact","Search Network","paused",12,"8.33%",21.06,1,21.06,0,"0.00%",0,"0.00%",0,0,"100.00%",1.8
