"Day","Account","Campaign","Ad.group","Network","Ad.group.state","Impressions","CTR","Avg..CPC","Clicks","Cost","Avg..session.duration..seconds.","Bounce.rate","Click.Assisted.Conv.","Click.conversion.rate","Conversions","View.through.conv.","Search.Impr..share","Avg..position"
2015-03-30,"Asian Bistro-Gurgaon","Asian Bistro Text","Ad Group #1","Search Network","enabled",2,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"20.00%",3
2015-04-01,"Asian Bistro-Gurgaon","Asian Bistro Text","Ad Group #1","Search Network","enabled",9,"11.11%",13.26,1,13.26,0,"0.00%",0,"0.00%",0,0," --",1.9
2015-04-02,"Asian Bistro-Gurgaon","Asian Bistro Text","Ad Group #1","Search Network","enabled",1,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",2
2015-03-06,"Asian haus","Asian Haus","Thai Cuisine","Search Network","paused",3,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"60.00%",1
2015-02-27,"Asian haus","Asian Haus","Thai Cuisine","Search Network","paused",14,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"58.33%",1
2015-03-05,"Asian haus","Asian Haus","Thai Cuisine","Search Network","paused",6,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"54.55%",1.3
2015-02-20,"Asian haus","Asian Haus","Thai Cuisine","Search Network","paused",0,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"< 10%",0
2015-02-14,"Asian haus","Asian Haus","Thai Cuisine","Search Network","paused",1,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"14.29%",1
2015-03-09,"Asian haus","Asian Haus","Thai Cuisine","Search Network","paused",7,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"50.00%",1
2015-02-18,"Asian haus","Asian Haus","Thai Cuisine","Search Network","paused",0,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"< 10%",0
2015-03-01,"Asian haus","Asian Haus","Thai Cuisine","Search Network","paused",8,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-03-14,"Asian haus","Asian Haus","Thai Cuisine","Search Network","paused",1,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-02-25,"Asian haus","Asian Haus","Thai Cuisine","Search Network","paused",3,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"20.00%",2.7
2015-03-04,"Asian haus","Asian Haus","Thai Cuisine","Search Network","paused",6,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"50.00%",2.5
2015-03-25,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",62,"19.35%",14.565833,12,174.79,0,"0.00%",1,"16.67%",2,0,"100.00%",1.3
2015-02-15,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",60,"10.00%",40.57,6,243.42,0,"0.00%",2,"33.33%",2,0,"93.75%",1.2
2015-02-14,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",104,"3.85%",34.4975,4,137.99,0,"0.00%",0,"0.00%",0,0,"97.20%",1
2015-02-13,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",417,"0.24%",22.17,1,22.17,0,"0.00%",0,"0.00%",0,0,"99.52%",1.1
2015-02-11,"Asian haus","Asian Haus","Asian Haus-BMM","Search Network","enabled",4,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"30.77%",1.8
2015-02-26,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",49,"8.16%",43.6375,4,174.55,0,"0.00%",0,"0.00%",0,0,"100.00%",1.1
2015-03-31,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",62,"20.97%",23.45,13,304.85,0,"0.00%",0,"7.69%",1,0,"100.00%",1.3
2015-02-16,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",74,"8.11%",19.081667,6,114.49,0,"0.00%",0,"0.00%",0,0,"97.37%",1.3
2015-03-13,"Asian haus","Asian Haus","Asian Haus-BMM","Search Network","enabled",32,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-03-06,"Asian haus","Asian Haus","Asian Haus-BMM","Search Network","enabled",46,"19.57%",45.057778,9,405.52,0,"0.00%",0,"11.11%",1,0,"100.00%",1.1
2015-03-03,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",40,"15.00%",27.42,6,164.52,0,"0.00%",0,"16.67%",1,0,"100.00%",1.1
2015-03-20,"Asian haus","Asian Haus","Asian Food","Search Network","enabled",5,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"25.00%",1
2015-04-01,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",77,"22.08%",12.673529,17,215.45,0,"0.00%",0,"5.88%",1,0," --",1.1
2015-03-01,"Asian haus","Asian Haus","Asian Haus-BMM","Search Network","enabled",24,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-03-27,"Asian haus","Asian Haus","Asian Haus-BMM","Search Network","enabled",12,"25.00%",28.383333,3,85.15,0,"0.00%",0,"0.00%",0,0,"100.00%",1.3
2015-03-22,"Asian haus","Asian Haus","Asian Haus-BMM","Search Network","enabled",5,"20.00%",31,1,31,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-03-22,"Asian haus","Asian Haus","Asian Haus - Main Competitor","Search Network","enabled",1,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"16.67%",2
2015-02-16,"Asian haus","Asian Haus","Generic-Menu-Based-Exact","Search Network","paused",0,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"< 10%",0
2015-03-21,"Asian haus","Asian Haus","Asian Food","Search Network","enabled",13,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"44.83%",1.3
