Campaign,Client
Paranthe - Display,Parathe Wali Gali
Paranthe Vali Gali,Parathe Wali Gali
,Persian Darbar
,Ploof
Punjabi Times: Text,Punjabi Times
Red Chilli-10-6,Red Chilli
Red Chilli-6-10,Red Chilli
,Red Moon Bakery
Red Onion : Text,Red Onion
RD Display,Red Onion
RED WOK,Red Wok
,Regency Park
ROSSA ASAP,Rossa Asap
Red Hot Asian Bristro-D,Rred Hot Asian Bistro
Rred Hot Asian - Free Dimsum,Rred Hot Asian Bistro
SALWA,Salwa
Salwa-D,Salwa
,Shekaza
,Shree Sagar
Singh Ching Display,Singh Ching
Singh Ching Text,Singh Ching
Smally's - Search,Smally's Resto Cafe
smoke biryani house,Smoked Biryani House
SmokeBiryaniHouse-D,Smoked Biryani House
SMOKED HOUSE BIRYANI,Smoked Biryani House
,Soi Thai
,Southern Spice
,Spice Grill
SPICE EXPRESS,Spice Xpress
Spice Xpress Display,Spice Xpress
,Subway
SUSHI HAUS,Sushi Haus
Sushi Haus Display,Sushi Haus
Tadka Singh,Tadkasingh
tadka singh-d,Tadkasingh
Tandoor Hut,Tandoor Hut
Tandoor Hut Display,Tandoor Hut
Tandoor Hut Text,Tandoor Hut
Tawak Display,TAWAK
Tawak Text,TAWAK
Tez Tadaka-D,Tez Tadka
Tez Tadka,Tez Tadka
Tez Tadka Search,Tez Tadka
Tez Tadka Topic,Tez Tadka
,Thaali Express
Breakfast Club,The Breakfast Club
BREAKFAST CLUB 1,The Breakfast Club
Noodle Box,The Noodle Box Co.
Noodle Box- 30% Off,The Noodle Box Co.
Noodle Box-D,The Noodle Box Co.
Pizzeria,The Pizzeria
Pizzeria-D,The Pizzeria
,The Toddy Shop
Tikki Tikki-Display,Tikki Tikki
Tikki Tikki-Search,Tikki Tikki
,Toast Bar And Grill
,Toast garden lounge
,Top In Town bar n restaurant
TPOT,Tpot
TPOT Display,Tpot
Urban Degchi,Urban Degchi- Kitchen & Bar
URBAN DEGCHI Display,Urban Degchi- Kitchen & Bar
